iter	Logloss
0	0.6880871012
1	0.6853751712
2	0.6827685074
3	0.6802822649
4	0.6719164437
5	0.6699102338
6	0.6627732079
7	0.6568049659
8	0.6550771291
9	0.6533941196
10	0.6518006589
11	0.650375261
12	0.6410156034
13	0.6388192828
14	0.6375578923
15	0.6300739569
16	0.628981263
17	0.6278792319
18	0.6267787556
19	0.625716074
20	0.6219719322
21	0.6210765271
22	0.620221842
23	0.6193569125
24	0.6162259445
25	0.6154339298
26	0.6100242671
27	0.6092398982
28	0.6084694005
29	0.6077793896
30	0.6070722082
31	0.606345568
32	0.6056900326
33	0.6049750659
34	0.6043806002
35	0.6037259692
36	0.6031256734
37	0.6014478429
38	0.6006482299
39	0.6000663816
40	0.5995361227
41	0.5973790675
42	0.5968892383
43	0.5961494239
44	0.5956557376
45	0.5950336759
46	0.5945512905
47	0.594094385
48	0.5936511361
49	0.5932352921
50	0.592803161
51	0.5923716716
52	0.5903493348
53	0.5881669302
54	0.5877672087
55	0.5873944408
56	0.5842030107
57	0.5837986535
58	0.5834317455
59	0.5829338963
60	0.5823587276
61	0.5820276756
62	0.581656088
63	0.5813294998
64	0.5809827092
65	0.5805095598
66	0.5799893988
67	0.5790149118
68	0.5787173276
69	0.578431367
70	0.5781267694
71	0.577328597
72	0.577006578
73	0.5767028822
74	0.5762131249
75	0.5756555771
76	0.5753879437
77	0.5748986517
78	0.5743968901
79	0.5733512145
80	0.5729716404
81	0.5724639632
82	0.5722263305
83	0.571776364
84	0.5712865815
85	0.5708554175
86	0.5697483771
87	0.5691481714
88	0.5688442775
89	0.5676329003
90	0.5672054947
91	0.5668918376
92	0.5665561162
93	0.566388332
94	0.5659325438
95	0.564845502
96	0.5646581464
97	0.5638180832
98	0.5635133235
99	0.5633231655
100	0.5628411904
101	0.5626409323
102	0.562146287
103	0.5619765603
104	0.5614674101
105	0.561045981
106	0.5608684972
107	0.5605952318
108	0.560436679
109	0.5601864783
110	0.5593993328
111	0.5582772082
112	0.5581135313
113	0.5572095805
114	0.5570710218
115	0.5566553548
116	0.5547365223
117	0.5525520991
118	0.5523941448
119	0.5522517406
120	0.551834934
121	0.5509372112
122	0.5506840058
123	0.5505452629
124	0.5498383156
125	0.5490816494
126	0.5481957849
127	0.5478435177
128	0.5470336379
129	0.5459618325
130	0.5453676788
131	0.5449850766
132	0.5445499287
133	0.5444306385
134	0.5432768994
135	0.5431467088
136	0.5413212187
137	0.5412008878
138	0.5404211098
139	0.5393820326
140	0.5386701971
141	0.5385408841
142	0.5375027186
143	0.5373916762
144	0.5370406681
145	0.5369431688
146	0.5366693726
147	0.5365878018
148	0.5352167029
149	0.5347942306
150	0.5346988359
151	0.5343010477
152	0.5339550561
153	0.5331035207
154	0.5329260003
155	0.5323049648
