iter	Passed	Remaining
0	11	11010
1	21	10543
2	30	10123
3	39	9959
4	49	9824
5	58	9697
6	67	9645
7	77	9606
8	85	9462
9	94	9328
10	103	9311
11	112	9270
12	122	9309
13	132	9300
14	140	9244
15	150	9264
16	158	9191
17	168	9169
18	178	9197
19	186	9142
20	196	9171
21	206	9168
22	215	9157
23	226	9194
24	235	9188
25	244	9164
26	253	9139
27	262	9109
28	271	9094
29	280	9072
30	288	9019
31	297	8994
32	306	8972
33	315	8967
34	324	8955
35	333	8932
36	342	8909
37	351	8888
38	360	8870
39	368	8850
40	377	8830
41	386	8815
42	395	8799
43	404	8783
44	413	8772
45	421	8750
46	430	8731
47	439	8714
48	448	8697
49	456	8682
50	465	8664
51	474	8650
52	483	8646
53	493	8639
54	502	8629
55	511	8621
56	522	8636
57	532	8647
58	542	8657
59	553	8665
60	562	8654
61	570	8632
62	579	8626
63	589	8621
64	599	8619
65	608	8612
66	617	8597
67	626	8591
68	637	8598
69	648	8609
70	658	8614
71	669	8627
72	679	8629
73	690	8642
74	702	8668
75	722	8780
76	733	8796
77	744	8803
78	767	8950
79	781	8985
80	793	9008
81	806	9025
82	816	9021
83	826	9015
84	836	9008
85	846	8998
86	855	8980
87	865	8966
88	874	8953
89	884	8940
90	893	8926
91	902	8908
92	911	8890
93	919	8864
94	929	8850
95	939	8844
96	949	8841
97	959	8835
98	970	8832
99	979	8811
100	988	8802
101	998	8788
102	1007	8777
103	1017	8764
104	1027	8754
105	1036	8742
106	1046	8730
107	1055	8714
108	1064	8701
109	1073	8685
110	1082	8669
111	1091	8653
112	1100	8636
113	1109	8624
114	1119	8613
115	1128	8601
116	1137	8588
117	1147	8576
118	1157	8565
119	1166	8552
120	1175	8538
121	1184	8524
122	1194	8517
123	1205	8516
124	1215	8511
125	1225	8497
126	1234	8484
127	1243	8470
128	1252	8459
129	1262	8447
130	1271	8432
131	1280	8418
132	1289	8405
133	1298	8388
134	1307	8375
135	1315	8357
136	1324	8344
137	1332	8324
138	1341	8309
139	1350	8297
140	1359	8283
141	1368	8266
142	1377	8254
143	1386	8239
144	1395	8226
145	1403	8211
146	1412	8196
147	1421	8184
148	1430	8171
149	1439	8157
150	1448	8142
151	1457	8130
152	1466	8117
153	1475	8104
154	1484	8091
155	1492	8077
156	1501	8063
157	1510	8048
158	1519	8036
159	1528	8022
160	1536	8007
161	1545	7994
162	1554	7981
163	1563	7969
164	1571	7954
165	1580	7940
166	1589	7930
167	1599	7919
168	1609	7914
169	1619	7904
170	1630	7904
171	1640	7896
172	1650	7890
173	1659	7876
174	1668	7867
175	1678	7857
176	1688	7850
177	1698	7841
178	1707	7832
179	1716	7821
180	1726	7811
181	1735	7801
182	1744	7788
183	1753	7777
184	1762	7766
185	1771	7752
186	1780	7740
187	1789	7727
188	1798	7715
189	1807	7705
190	1816	7692
191	1825	7682
192	1834	7669
193	1843	7657
194	1851	7643
195	1860	7631
196	1869	7619
197	1878	7607
198	1887	7595
199	1896	7584
200	1905	7573
201	1914	7562
202	1923	7551
203	1932	7540
204	1940	7524
205	1949	7512
206	1959	7504
207	1968	7494
208	1977	7484
209	1986	7473
210	1995	7462
211	2004	7450
212	2013	7438
213	2022	7427
214	2031	7418
215	2040	7407
216	2049	7395
217	2058	7382
218	2069	7378
219	2077	7366
220	2086	7354
221	2095	7342
222	2104	7331
223	2112	7319
224	2122	7312
225	2132	7301
226	2141	7291
227	2150	7280
228	2159	7269
229	2168	7258
230	2177	7248
231	2186	7239
232	2196	7229
233	2204	7217
234	2213	7206
235	2222	7195
236	2231	7184
237	2240	7173
238	2249	7163
239	2259	7153
240	2268	7143
241	2277	7133
242	2286	7123
243	2296	7114
244	2306	7107
245	2315	7098
246	2325	7088
247	2334	7077
248	2343	7068
249	2352	7057
250	2363	7052
251	2372	7040
252	2381	7030
253	2390	7019
254	2398	7008
255	2407	6997
256	2417	6987
257	2425	6976
258	2434	6966
259	2444	6956
260	2453	6945
261	2461	6934
262	2470	6923
263	2479	6912
264	2488	6901
265	2496	6889
266	2505	6878
267	2514	6868
268	2524	6860
269	2534	6851
270	2543	6841
271	2552	6830
272	2561	6822
273	2570	6812
274	2580	6801
275	2589	6792
276	2598	6781
277	2607	6771
278	2616	6761
279	2626	6754
280	2637	6747
281	2647	6740
282	2657	6732
283	2667	6726
284	2678	6718
285	2688	6711
286	2698	6703
287	2709	6699
288	2719	6690
289	2728	6680
290	2738	6671
291	2747	6661
292	2756	6651
293	2764	6639
294	2774	6630
295	2783	6619
296	2792	6609
297	2801	6599
298	2810	6588
299	2819	6578
300	2828	6567
301	2837	6557
302	2845	6546
303	2854	6535
304	2864	6526
305	2873	6516
306	2882	6505
307	2891	6496
308	2901	6487
309	2910	6477
310	2918	6466
311	2927	6456
312	2936	6445
313	2946	6436
314	2955	6427
315	2964	6416
316	2973	6406
317	2982	6395
318	2991	6385
319	2999	6374
320	3008	6364
321	3017	6354
322	3026	6343
323	3037	6338
324	3048	6330
325	3057	6321
326	3065	6309
327	3074	6299
328	3084	6290
329	3093	6279
330	3101	6269
331	3110	6259
332	3119	6249
333	3128	6238
334	3137	6228
335	3146	6217
336	3155	6207
337	3164	6197
338	3173	6187
339	3181	6176
340	3191	6167
341	3200	6158
342	3209	6147
343	3218	6138
344	3228	6129
345	3239	6124
346	3250	6117
347	3260	6109
348	3270	6099
349	3278	6089
350	3287	6079
351	3296	6068
352	3305	6058
353	3315	6050
354	3324	6041
355	3334	6031
356	3343	6022
357	3352	6012
358	3362	6003
359	3371	5994
360	3381	5985
361	3390	5976
362	3400	5966
363	3409	5956
364	3418	5947
365	3427	5937
366	3438	5929
367	3448	5921
368	3457	5912
369	3466	5903
370	3476	5894
371	3485	5883
372	3494	5873
373	3503	5864
374	3512	5853
375	3521	5843
376	3530	5833
377	3539	5823
378	3547	5812
379	3555	5801
380	3564	5791
381	3573	5781
382	3582	5770
383	3591	5761
384	3600	5751
385	3609	5741
386	3618	5731
387	3627	5721
388	3636	5711
389	3645	5701
390	3654	5691
391	3662	5681
392	3672	5671
393	3680	5661
394	3689	5650
395	3698	5641
396	3707	5631
397	3716	5621
398	3725	5610
399	3733	5600
400	3742	5589
401	3750	5579
402	3759	5569
403	3768	5559
404	3777	5550
405	3786	5539
406	3795	5530
407	3804	5520
408	3813	5510
409	3822	5500
410	3831	5490
411	3840	5480
412	3849	5470
413	3858	5461
414	3866	5451
415	3875	5441
416	3884	5430
417	3893	5421
418	3902	5411
419	3911	5401
420	3920	5391
421	3929	5381
422	3937	5371
423	3946	5361
424	3956	5352
425	3965	5342
426	3974	5333
427	3983	5323
428	3992	5313
429	4000	5303
430	4009	5293
431	4018	5283
432	4027	5274
433	4037	5264
434	4046	5255
435	4055	5245
436	4063	5235
437	4072	5225
438	4081	5216
439	4090	5206
440	4099	5196
441	4108	5186
442	4117	5177
443	4126	5167
444	4135	5157
445	4144	5147
446	4153	5138
447	4162	5128
448	4170	5118
449	4180	5108
450	4189	5099
451	4198	5090
452	4208	5082
453	4217	5072
454	4226	5063
455	4236	5054
456	4246	5045
457	4255	5035
458	4264	5026
459	4273	5017
460	4283	5008
461	4293	4999
462	4302	4990
463	4312	4982
464	4323	4974
465	4332	4964
466	4342	4956
467	4352	4947
468	4361	4937
469	4370	4928
470	4380	4919
471	4389	4910
472	4398	4900
473	4407	4891
474	4416	4881
475	4425	4872
476	4434	4862
477	4444	4853
478	4452	4843
